feature,corr
V218,0.04756506862669448
V163,0.04653220466098815
V233,0.04622615846500288
V219,0.04604195893282509
V217,0.045785221219540075
V250,0.04521316161849127
V237,0.042722323274898
V138,0.04265831478432121
V289,0.042629211275678286
V313,0.041494252909491026
id_03,0.04145664350595889
V231,0.04128936214795379
V118,0.04060137081855328
V20,0.04034101110148308
V290,0.04014893641753468
V236,0.039979196688871864
V161,0.03980598860471173
V314,0.03853532780132052
V196,0.03826621548403185
V255,0.038074944134473813
V9,0.03791477628193628
V66,0.0376308531930135
V312,0.037578126133816454
C2,0.03722893953099858
V5,0.03690397255425055
V288,0.035320207874371096
V284,0.03530930303505009
id_25,0.03404467703851382
C8,0.032138713158291844
V301,0.032086561883338756
C12,0.031905281711224746
V19,0.030903624732999315
C1,0.030569759651239932
C4,0.03038213630507711
id_09,0.029430893966330026
C10,0.02839598745679023
V181,0.02833732993890026
C7,0.028160291640634834
C11,0.02748373459887533
V98,0.027317813001375937
V271,0.027248467735313073
V292,0.02677850015943366
V272,0.025381832704811074
V300,0.025316660712280087
V131,0.024974677273710905
V187,0.024228245343393538
V7,0.0234920014772185
V193,0.02206965567876829
dist1,0.02152216135032112
C6,0.02090898355378391
V291,0.020440597912171263
V287,0.020416840379746178
V309,0.02025580729981642
V2,0.01987217683345303
V120,0.019678120763392037
V253,0.019651836299500444
V122,0.018712046864416753
V192,0.018343566914235387
V275,0.01712006886532636
V227,0.01699191919167145
V174,0.016204456730692256
V8,0.01604125649876972
V26,0.015929046145122115
V270,0.01568311590889741
V273,0.015675660056657395
V274,0.01551778332758313
V263,0.014730419798002745
V265,0.014224070688920506
TransactionID,0.014165772702318261
TransactionDT,0.013103054993049857
V129,0.012730588175913287
V4,0.012610689217184003
V121,0.012329530754584685
TransactionAmt,0.011319825333214892
V100,0.011286225991512638
V310,0.011071035212630961
id_10,0.011042562365330976
V277,0.010737611969997927
V6,0.01055247763423996
V278,0.010039548848609426
V276,0.009680710491207715
V264,0.009357727899834311
V208,0.00915020792206919
V225,0.007935938017775233
C14,0.007920558690607874
id_11,0.007914420181420157
V325,0.00779243787740438
V307,0.005948114008690773
addr1,0.005595762757557467
V317,0.00500975991637361
V320,0.004960880975737566
V214,0.004850812415305391
V286,0.004408655244828719
V294,0.0042405043409360806
V296,0.004160508556702471
V41,0.0041541449235138255
V25,0.0038264929638427278
V104,0.003484721076402916
card2,0.0033878791782707136
V308,0.0032532793791573995
V130,0.0030759775320369073
V240,0.0027928017313072627
V65,0.0027009818428815197
V107,0.0025535525264306293
V297,0.0025295930881368105
V226,0.0022731133073469003
V14,0.0021454034425817873
V241,0.001988497225526801
V321,0.0016771114354833833
V311,0.0013001555716181006
V298,0.001294236700704747
V224,0.00115089512895934
V223,0.0011065032954872174
V1,0.0010454503101438963
V318,0.0009971344286091204
V88,0.0005535873250202789
V319,6.0759885426412343e-05
V136,-4.225181584506954e-05
V137,-0.00011479958381914808
V135,-0.00027626329806624964
V299,-0.0003076622185037058
V334,-0.00045073113888016735
V305,-0.0004955644383045901
V216,-0.0006118973117613247
V210,-0.0006525308250588665
V183,-0.000653080098597512
V280,-0.0007821870848120216
V327,-0.0010497488677670332
V295,-0.0016814534685521533
V306,-0.0018631493144339354
id_24,-0.0019050476544995058
V128,-0.0019302533744433997
V106,-0.002091194706931447
V175,-0.00222245370375173
V336,-0.002402066638591297
V127,-0.0026286431395885546
V316,-0.0029602806832663567
V133,-0.0031653122963087557
V105,-0.003229285469556626
V134,-0.0035119018302775876
V126,-0.0035455731415695918
V279,-0.0037511494423915223
V68,-0.004048085843797907
V95,-0.0041196819366870596
V132,-0.00426311452656698
V97,-0.004490564812846191
V293,-0.004500804251332987
V101,-0.004712109985836286
V215,-0.004800878155437776
V102,-0.004847621793155791
V28,-0.0048946025805186545
V27,-0.004979400635690983
V103,-0.005120718920326578
V268,-0.005161072679026332
V89,-0.0051877418477182325
V266,-0.005256878230003749
V335,-0.005455958188612093
V96,-0.005484463663539998
V206,-0.005695251103899208
V337,-0.005702428166627217
V269,-0.0059044863500248845
C3,-0.006833173826653219
V326,-0.006837540006062415
V267,-0.007389816222331688
id_05,-0.007978411819556993
D14,-0.00866257555117882
V285,-0.009127666684282864
V180,-0.009338650071619183
V205,-0.00989583792139537
V182,-0.010107615049371107
V328,-0.011053260609156929
C13,-0.01114575222904826
V207,-0.012417636289724239
V167,-0.012853528116773311
V99,-0.013178826745813959
V172,-0.013237472944738838
card1,-0.013639969873036298
V177,-0.013715499925932925
V339,-0.014663379418456326
V179,-0.0159042208818608
V168,-0.016021114588498857
V178,-0.016543436917623385
V202,-0.018027509528309938
V211,-0.01857249281589279
V209,-0.01882854191767677
dist2,-0.019053623292596304
V338,-0.019356441581314675
V234,-0.019357644562925845
id_13,-0.01953802795774269
V203,-0.01994192158645742
V213,-0.020601304839598315
V204,-0.020747956187808326
V212,-0.021138141449669134
V330,-0.02116392507366199
V173,-0.02134851834990527
V322,-0.021540788669820073
V331,-0.021982048900506607
V329,-0.02309889006590815
V323,-0.02332862494423329
V332,-0.02346829114937731
V324,-0.02400611968019138
V333,-0.024133896370810693
id_06,-0.027139434813318916
V164,-0.02744513920544511
D12,-0.028863827846510922
V166,-0.029435877749742344
V143,-0.029766792193589253
addr2,-0.030387147315388906
C5,-0.030753966713252066
C9,-0.031703415864193916
card5,-0.03357955581230893
V54,-0.03702524794065743
id_19,-0.0417214210579183
D9,-0.04425253921102915
D11,-0.04509394193508511
V13,-0.04570627083804547
D3,-0.04627138134885145
V76,-0.04641888285405051
V53,-0.047399539439522215
V165,-0.0513986425341575
V144,-0.051970171053486364
V75,-0.052171118401079075
V12,-0.05240600917509119
D6,-0.05723557903343869
id_08,-0.05748877227233189
V152,-0.059153859315567825
D13,-0.05943039213973745
id_04,-0.059701321286183794
V151,-0.060868017521395264
V145,-0.06196403666644695
V160,-0.06233829744594935
V159,-0.06266039086816996
V150,-0.0639645651435154
D5,-0.06463762954147709
D1,-0.0671930590357108
D4,-0.06721630255951176
V36,-0.06987475318173872
V11,-0.07194973041245174
D10,-0.0720019086182618
V10,-0.0746580293488728
V35,-0.07711565286473043
D15,-0.0775194006723156
D2,-0.08358321970827036
id_07,-0.08476785965792841
V70,-0.10089993699583576
V30,-0.10308792418958931
V69,-0.10452063087878082
V91,-0.10545301705361311
V29,-0.10785177266358155
V90,-0.11016802850924974
V49,-0.11092009108453506
V48,-0.11578587857757693
id_01,-0.12009888526804541
D7,-0.12719850708196515
D8,-0.14263641015850026
